Model_1,Model_2,Mean_1,Mean_2,Mean_Diff,T_Statistic,T_P_Value,T_Significant,U_Statistic,U_P_Value,U_Significant,Cohens_D,Effect_Size
DQN Original,DQN+MCTS,0.49779999999999996,0.5115999999999999,-0.013799999999999979,-1.542672659260394,0.1403080011148556,False,29.5,0.1298464263339688,False,-0.6899041866273223,Medium
DQN Original,DMC Old,0.49779999999999996,0.4742,0.023599999999999954,2.744433437636443,0.013329677087649587,True,78.0,0.03741989556604336,True,1.2273479452557032,Large
DQN Original,DMC Ep10k,0.49779999999999996,0.5004,-0.002599999999999991,-0.28349582203207624,0.7800316960958732,False,46.0,0.7910295772981756,False,-0.126783185880181,Negligible
DQN Original,RLCard DMC (100M),0.49779999999999996,0.6037999999999999,-0.10599999999999993,-12.37888347026581,3.054594393164943e-10,True,0.0,0.00017962250499070813,True,-5.536004985012571,Large
DQN Original,RLCard DMC+MCTS (100M),0.49779999999999996,0.6134,-0.11559999999999998,-11.246943211132816,1.4221131004556534e-09,True,0.0,0.00017861448837368167,True,-5.029785911834549,Large
DQN+MCTS,DMC Old,0.5115999999999999,0.4742,0.03739999999999993,4.961494280822171,0.00010091724574897045,True,94.0,0.0010035563801035303,True,2.2188476963789614,Large
DQN+MCTS,DMC Ep10k,0.5115999999999999,0.5004,0.011199999999999988,1.3684339461472539,0.18801540746002582,False,69.0,0.1613408224336783,False,0.6119822652607093,Medium
DQN+MCTS,RLCard DMC (100M),0.5115999999999999,0.6037999999999999,-0.09219999999999995,-12.29880068220638,3.393059581321989e-10,True,0.0,0.0001816511460914649,True,-5.500190873426852,Large
DQN+MCTS,RLCard DMC+MCTS (100M),0.5115999999999999,0.6134,-0.1018,-10.819995381015064,2.6206184614232992e-09,True,0.0,0.00018063472080753515,True,-4.838849037636685,Large
DMC Old,DMC Ep10k,0.4742,0.5004,-0.026199999999999946,-3.3570130570866876,0.003510064129804189,True,14.5,0.0080554002588282,True,-1.5013018794000432,Large
DMC Old,RLCard DMC (100M),0.4742,0.6037999999999999,-0.12959999999999988,-18.305441819655787,4.4154007306418365e-13,True,0.0,0.00018063472080753515,True,-8.186442453383556,Large
DMC Old,RLCard DMC+MCTS (100M),0.4742,0.6134,-0.13919999999999993,-15.330578290715662,8.945548357245135e-12,True,0.0,0.00017962250499070813,True,-6.856043038484551,Large
DMC Ep10k,RLCard DMC (100M),0.5004,0.6037999999999999,-0.10339999999999994,-13.316861984792235,9.277765905949287e-11,True,0.0,0.0001816511460914649,True,-5.955481728995642,Large
DMC Ep10k,RLCard DMC+MCTS (100M),0.5004,0.6134,-0.11299999999999999,-11.742271200913368,7.152211811899136e-10,True,0.0,0.00018063472080753515,True,-5.251303323096077,Large
RLCard DMC (100M),RLCard DMC+MCTS (100M),0.6037999999999999,0.6134,-0.009600000000000053,-1.0612937284538222,0.30258949898469484,False,36.0,0.30694328264676696,False,-0.47462498418338983,Small
