Agent_1,Agent_2,Win_Rate_1,Win_Rate_2,Difference,Z_Statistic,P_Value,Significant,Highly_Significant
RLCard DMC,DRON (57.5%),0.5768571428571428,0.534,0.042857142857142816,5.102374772174155,3.3541768984513e-07,True,True
RLCard DMC,Heuristic,0.5768571428571428,0.5204285714285715,0.056428571428571384,6.708540611807852,1.9658052963222872e-11,True,True
RLCard DMC,DQN + MCTS,0.5768571428571428,0.4837142857142857,0.09314285714285714,11.041084399574014,0.0,True,True
RLCard DMC,DMC,0.5768571428571428,0.4785714285714286,0.09828571428571425,11.647228353105108,0.0,True,True
RLCard DMC,Random,0.5768571428571428,0.476,0.10085714285714287,11.950283567696072,0.0,True,True
RLCard DMC,DQN,0.5768571428571428,0.4714285714285714,0.10542857142857143,12.489044463214576,0.0,True,True
RLCard DMC,DMC + MCTS,0.5768571428571428,0.459,0.11785714285714283,13.954018671285464,0.0,True,True
DRON (57.5%),Heuristic,0.534,0.5204285714285715,0.013571428571428568,1.6081769382924451,0.10779643247360049,False,False
DRON (57.5%),DQN + MCTS,0.534,0.4837142857142857,0.05028571428571432,5.950819698011917,2.6680286868696612e-09,True,True
DRON (57.5%),DMC,0.534,0.4785714285714286,0.05542857142857144,6.558915325338695,5.420064397299029e-11,True,True
DRON (57.5%),Random,0.534,0.476,0.05800000000000005,6.8629957067600715,6.743050562363351e-12,True,True
DRON (57.5%),DQN,0.534,0.4714285714285714,0.06257142857142861,7.40366036289455,1.325606291402437e-13,True,True
DRON (57.5%),DMC + MCTS,0.534,0.459,0.07500000000000001,8.874337098571814,0.0,True,True
Heuristic,DQN + MCTS,0.5204285714285715,0.4837142857142857,0.036714285714285755,4.3441301491936795,1.398286025744433e-05,True,True
Heuristic,DMC,0.5204285714285715,0.4785714285714286,0.04185714285714287,4.952606409012932,7.322599022696608e-07,True,True
Heuristic,Random,0.5204285714285715,0.476,0.044428571428571484,5.256892990621544,1.4650950341810187e-07,True,True
Heuristic,DQN,0.5204285714285715,0.4714285714285714,0.049000000000000044,5.7979504104290065,6.713029465643672e-09,True,True
Heuristic,DMC + MCTS,0.5204285714285715,0.459,0.061428571428571443,7.269864997527274,3.5993430458347575e-13,True,True
DQN + MCTS,DMC,0.4837142857142857,0.4785714285714286,0.005142857142857116,0.6089442887469516,0.5425613667944424,False,False
DQN + MCTS,Random,0.4837142857142857,0.476,0.007714285714285729,0.9135081800392804,0.3609753333959618,False,False
DQN + MCTS,DQN,0.4837142857142857,0.4714285714285714,0.012285714285714289,1.4551300349176484,0.14563326561585788,False,False
DQN + MCTS,DMC + MCTS,0.4837142857142857,0.459,0.02471428571428569,2.9290437234437583,0.0034000659110418052,True,True
DMC,Random,0.4785714285714286,0.476,0.0025714285714286134,0.30456997293627247,0.760693692207312,False,False
DMC,DQN,0.4785714285714286,0.4714285714285714,0.007142857142857173,0.8462126825129926,0.397434108129479,False,False
DMC,DMC + MCTS,0.4785714285714286,0.459,0.019571428571428573,2.3202484548183007,0.02032744074915982,True,False
Random,DQN,0.476,0.4714285714285714,0.00457142857142856,0.5416477317445438,0.5880612032025965,False,False
Random,DMC + MCTS,0.476,0.459,0.01699999999999996,2.0157298628705855,0.043828231135736306,True,False
DQN,DMC + MCTS,0.4714285714285714,0.459,0.0124285714285714,1.4741402854829435,0.1404438237485761,False,False
